secs,power,hr,cad,session_time,hr_p_fatigue
0,95,96,80,0,72.25
1,99,97,83,1,72.25
2,125,96,86,2,64.75
3,191,96,90,3,48.25
4,230,97,90,4,39.5
5,230,96,91,5,38.5
6,231,96,90,6,38.25
7,237,95,92,7,35.75
8,220,96,88,8,41.0
9,241,96,88,9,35.75
10,247,100,89,10,38.25
11,240,103,89,11,43.0
12,252,106,89,12,43.0
13,235,108,88,13,49.25
14,281,110,91,14,39.75
15,291,112,95,15,39.25
16,289,114,95,16,41.75
17,299,114,97,17,39.25
18,301,114,97,18,38.75
19,305,114,99,19,37.75
20,316,115,102,20,36.0
21,293,116,101,21,42.75
22,275,117,97,22,48.25
23,294,118,96,23,44.5
24,296,119,96,24,45.0
25,298,120,95,25,45.5
26,294,121,96,26,47.5
27,288,122,93,27,50.0
28,265,122,97,28,55.75
29,292,123,99,29,50.0
30,278,124,99,30,54.5
31,286,124,100,31,52.5
32,288,125,100,32,53.0
33,297,125,101,33,50.75
34,283,126,102,34,55.25
35,276,128,100,35,59.0
36,287,128,101,36,56.25
37,307,129,101,37,52.25
38,281,129,103,38,58.75
39,283,131,99,39,60.25
40,271,131,100,40,63.25
41,265,132,98,41,65.75
42,266,132,95,42,65.5
43,272,132,95,43,64.0
44,267,132,96,44,65.25
45,281,131,97,45,60.75
46,249,131,96,46,68.75
47,272,131,96,47,63.0
48,287,131,97,48,59.25
49,277,132,99,49,62.75
50,268,132,97,50,65.0
51,298,133,99,51,58.5
52,284,133,99,52,62.0
53,284,134,102,53,63.0
54,292,135,101,54,62.0
55,291,136,103,55,63.25
56,273,136,101,56,67.75
57,282,136,102,57,65.5
58,259,138,101,58,73.25
59,258,138,98,59,73.5
60,270,138,98,60,70.5
61,253,139,97,61,75.75
62,287,139,97,62,67.25
63,275,139,98,63,70.25
64,257,139,96,64,74.75
65,279,139,98,65,69.25
66,266,139,98,66,72.5
67,269,139,98,67,71.75
68,257,139,97,68,74.75
69,267,138,96,69,71.25
70,268,138,97,70,71.0
71,274,138,97,71,69.5
72,254,138,98,72,74.5
73,279,139,96,73,69.25
74,265,139,98,74,72.75
75,252,139,96,75,76.0
76,261,139,96,76,73.75
77,262,139,96,77,73.5
78,270,139,97,78,71.5
79,273,139,100,79,70.75
80,255,139,98,80,75.25
81,265,139,98,81,72.75
82,276,139,98,82,70.0
83,273,140,99,83,71.75
84,286,140,99,84,68.5
85,294,141,103,85,67.5
86,277,141,103,86,71.75
87,265,142,102,87,75.75
88,281,142,102,88,71.75
89,281,143,102,89,72.75
90,303,143,105,90,67.25
91,294,144,107,91,70.5
92,270,144,104,92,76.5
93,259,145,104,93,80.25
94,270,145,101,94,77.5
95,286,145,103,95,73.5
96,295,145,105,96,71.25
97,278,145,104,97,75.5
98,300,146,105,98,71.0
99,274,147,104,99,78.5
100,283,147,103,100,76.25
101,274,146,103,101,77.5
102,282,146,102,102,75.5
103,258,146,102,103,81.5
104,262,146,100,104,80.5
105,259,146,98,105,81.25
106,268,146,96,106,79.0
107,287,145,100,107,73.25
108,227,146,97,108,89.25
109,248,146,94,109,84.0
110,273,145,96,110,76.75
111,266,143,97,111,76.5
112,269,143,97,112,75.75
113,273,142,98,113,73.75
114,262,143,98,114,77.5
115,255,143,97,115,79.25
116,268,144,96,116,77.0
117,274,144,98,117,75.5
118,257,145,97,118,80.75
119,266,145,97,119,78.5
120,262,145,98,120,79.5
121,249,145,97,121,82.75
