secs,km,power,hr,cad,alt
0,0,,0,0,140.2
1,0,,0,0,134.8
2,0,,88,0,133
3,0.00317,,88,0,132.2
4,0.00699,,88,0,131.8
5,0.0112333,,89.3333,0,131.6
6,0.0154767,,90.6667,0,131.4
7,0.01972,,92,0,131.2
8,0.02331,,95,0,131.6
9,0.02673,,95,0,131.8
10,0.02996,,92,0,131.3
11,0.03319,,89,0,130.8
12,0.03632,,87,0,130.2
13,0.03957,,85,0,129.9
14,0.04282,,83,0,129.6
15,0.04578,,82,0,129.6
16,0.04895,,85,0,129.5
17,0.05212,,88,0,129.4
18,0.0549825,,88.25,0,129.3
19,0.057845,,88.5,0,129.2
20,0.0607075,,88.75,0,129.1
21,0.06357,,89,0,129
22,0.06671,,93,0,128.8
23,0.0706283,,92.8333,0,128.8
24,0.0745467,,92.6667,0,128.8
25,0.078465,,92.5,0,128.8
26,0.0823833,,92.3333,0,128.8
27,0.0863017,,92.1667,0,128.8
28,0.09022,,92,0,128.8
29,0.094275,,93.5,0,128.8
30,0.09833,,95,0,128.8
31,0.10253,,91,39,128.6
32,0.107015,,89.5,33.5,128.6
33,0.1115,,88,28,128.6
34,0.116363,,88.3333,34,128.333
35,0.121227,,88.6667,40,128.067
36,0.12609,,89,46,127.8
37,0.131297,,89.3333,30.6667,127.733
38,0.136503,,89.6667,15.3333,127.667
39,0.14171,,90,0,127.6
40,0.14687,,89.25,0,127.5
41,0.15203,,88.5,0,127.4
42,0.15719,,87.75,0,127.3
43,0.16235,,87,0,127.2
44,0.16639,,84,0,127.2
45,0.170045,,84,0,127
46,0.1737,,84,0,126.8
47,0.17737,,85.5,0,126.7
48,0.18104,,87,0,126.6
49,0.184897,,88,0,126.333
50,0.188753,,89,0,126.067
51,0.19261,,90,0,125.8
52,0.19651,,90,0,125.6
53,0.200655,,88.5,0,125.3
54,0.2048,,87,0,125
55,0.209237,,87.3333,0,124.8
56,0.213673,,87.6667,0,124.6
57,0.21811,,88,0,124.4
58,0.22264,,85,0,124.2
59,0.22721,,81,0,124
60,0.23172,,78,0,124
61,0.23617,,78,0,124
62,0.240755,,79,0,123.8
63,0.24534,,80,0,123.6
64,0.25005,,80,0,123.6
65,0.25476,,80,0,123.6
66,0.259408,,80,0,123.767
67,0.264057,,80,0,123.933
68,0.268705,,80,0,124.1
69,0.273353,,80,0,124.267
70,0.278002,,80,0,124.433
71,0.28265,,80,0,124.6
72,0.287445,,82,0,124.6
73,0.29224,,84,0,124.6
74,0.29702,,84,0,124.2
75,0.30179,,83,0,123.8
76,0.30656,,82,0,123.4
77,0.31141,,82,0,123.4
78,0.314125,,81.25,0,123.45
79,0.31684,,80.5,0,123.5
80,0.319555,,79.75,0,123.55
81,0.32227,,79,0,123.6
203,0.32227,,80,0,123
204,0.32501,,86,0,123.2
205,0.328525,,87.5,20,123.3
206,0.33204,,89,40,123.4
207,0.33686,,90.5,43.5,123.4
208,0.34168,,92,47,123.4
209,0.347725,,94,51,123.4
210,0.35377,,96,55,123.4
211,0.36121,,98,63,123.5
212,0.36865,,100,71,123.6
213,0.3761,,104,70,123.8
214,0.38357,,106,76,123.8
215,0.39104,,108,82,123.8
216,0.397476,,106.8,65.6,123.84
217,0.403912,,105.6,49.2,123.88
218,0.410348,,104.4,32.8,123.92
219,0.416784,,103.2,16.4,123.96
220,0.42322,,102,0,124
221,0.4291,,99,0,124.2
222,0.43484,,99,67,124.2
223,0.44033,,99,66,124.4
224,0.444908,,99.3333,63.1667,124.533
225,0.449487,,99.6667,60.3333,124.667
226,0.454065,,100,57.5,124.8
227,0.458643,,100.333,54.6667,124.933
228,0.463222,,100.667,51.8333,125.067
229,0.4678,,101,49,125.2
230,0.47104,,102.5,46.5,125.2
231,0.47428,,104,44,125.2
232,0.476816,,103,40.8,125.24
233,0.479352,,102,37.6,125.28
234,0.481888,,101,34.4,125.32
235,0.484424,,100,31.2,125.36
236,0.48696,,99,28,125.4
237,0.4888,,97,28,125.4
238,0.49064,,95,28,125.4
239,0.491983,,96,18.6667,125.4
240,0.493327,,97,9.33333,125.4
241,0.49467,,98,0,125.4
242,0.49571,,101,0,125.4
243,0.49658,,101,0,125.4
244,0.498665,,99.5,0,125.5
245,0.50075,,98,0,125.6
246,0.504483,,99.6667,19.3333,125.667
247,0.508217,,101.333,38.6667,125.733
248,0.51195,,103,58,125.8
249,0.51667,,105,54.5,125.9
250,0.52139,,107,51,126
251,0.52674,,108.5,56.5,126.1
252,0.53209,,110,62,126.2
253,0.53783,,112,68,126.6
254,0.54367,,113,67.6667,126.733
255,0.54951,,114,67.3333,126.867
256,0.55535,,115,67,127
257,0.561416,,115.6,67.6,127
258,0.567482,,116.2,68.2,127
259,0.573548,,116.8,68.8,127
260,0.579614,,117.4,69.4,127
261,0.58568,,118,70,127
262,0.591907,,119,69,127.133
263,0.598133,,120,68,127.267
264,0.60436,,121,67,127.4
265,0.610745,,120.75,66.75,127.45
266,0.61713,,120.5,66.5,127.5
267,0.623515,,120.25,66.25,127.55
