secs,km,power,hr,cad,alt
0,0,90,104,62,16
1,0.0014,92,104,61,16
2,0.0034,93,103,60,16
3,0.0057,93,106,62,16
4,0.0084,93,109,62,16
5,0.0113,93,111,68,16
6,0.0144,95,112,69,16
7,0.018,98,111,73,16
8,0.0215,99,111,75,16
9,0.0254,101,111,77,16
10,0.0295,101,112,78,16
11,0.0337,103,112,78,16
12,0.038,105,113,79,16
13,0.0425,105,113,81,16
14,0.0472,105,114,81,16
15,0.0523,106,114,81,16
16,0.0571,106,114,82,16
17,0.0623,106,114,81,16
18,0.0674,104,115,80,16
19,0.0729,104,109,80,16
20,0.0782,106,109,80,16
21,0.0836,107,107,81,16
22,0.0894,106,107,83,16
23,0.0952,104,108,81,16
24,0.101,104,109,81,16
25,0.1068,104,110,80,16
26,0.1127,105,112,80,16
27,0.1187,107,114,81,16
28,0.1251,107,115,82,16
29,0.131,106,115,82,16
30,0.1373,106,115,81,16
31,0.1435,107,112,82,16
32,0.1499,106,110,82,16
33,0.1561,106,108,82,16
34,0.1628,108,108,83,16
35,0.169,109,110,83,16
36,0.1758,109,112,83,16
37,0.1821,109,112,84,16
38,0.1889,108,113,83,16
39,0.1955,108,113,83,16
40,0.2021,109,114,83,16
41,0.2091,108,114,84,16
42,0.2156,109,114,83,16
43,0.2226,110,114,84,16
44,0.2292,111,114,85,16
45,0.2362,111,114,85,16
46,0.2431,111,113,84,16
47,0.25,110,111,84,16
48,0.2569,110,111,84,16
49,0.2639,111,113,85,16
50,0.2711,111,112,85,16
51,0.278,111,112,85,16
52,0.2853,112,112,85,16
53,0.2925,112,113,86,16
54,0.2999,112,112,85,16
55,0.307,111,112,85,16
56,0.3143,112,113,85,16
57,0.3218,113,113,86,16
58,0.3289,111,114,85,16
59,0.3363,110,114,84,16
60,0.3439,108,113,83,16
61,0.3512,107,113,82,16
62,0.3586,106,114,81,16
63,0.366,105,114,81,16
64,0.3733,106,115,82,16
65,0.3808,106,116,82,16
66,0.3879,106,117,82,16
67,0.3953,106,117,82,16
68,0.403,105,117,81,16
69,0.4101,105,116,81,16
70,0.4177,105,111,81,16
71,0.4249,105,110,81,16
72,0.4327,105,109,81,16
73,0.44,105,108,81,16
74,0.4471,105,109,81,16
75,0.4545,103,112,80,16
76,0.462,102,112,79,16
77,0.4694,103,112,78,16
78,0.477,105,114,79,16
79,0.4843,106,114,80,16
80,0.4916,109,116,82,16
81,0.499,111,117,85,16
82,0.5067,111,118,85,16
83,0.5142,111,118,85,16
84,0.5214,111,117,85,16
85,0.5289,111,116,85,16
86,0.5365,112,116,85,16
87,0.5439,113,116,86,16
88,0.5513,113,115,86,16
89,0.5589,114,116,87,16
90,0.5665,114,117,87,16
91,0.5738,115,117,88,16
92,0.5815,113,118,87,16
93,0.5887,112,118,86,16
94,0.5963,114,118,86,16
95,0.6039,116,118,88,16
96,0.6113,114,118,88,16
97,0.6188,112,117,86,16
98,0.6262,110,117,84,16
99,0.6338,108,117,84,16
100,0.6414,107,117,83,16
101,0.6489,106,117,81,16
102,0.6563,106,116,81,16
103,0.6638,106,113,81,16
104,0.6715,106,111,80,16
105,0.6788,105,109,79,16
106,0.6863,107,109,79,16
107,0.6938,109,109,81,16
108,0.7017,109,112,81,15
109,0.7106,110,117,81,13.8
110,0.721,110,119,82,12.2
111,0.7329,109,0,82,10.6
112,0.746,109,120,83,8.6
113,0.7599,111,119,85,6.6
114,0.7745,111,118,85,6.2
115,0.7889,112,117,86,6.2
116,0.8028,114,116,87,6.2
117,0.8164,114,116,87,6.2
118,0.8298,113,116,87,6.2
119,0.8428,112,117,86,6.2
120,0.8561,112,118,86,5.8
121,0.869,111,115,86,5.2
