secs,km,power,hr,cad,alt
0,0,,,28,
1,0.00107324,,,28,
2,0.00214648,,,28,
3,0.00321972,,,28,
4,0.00429296,,,28,
5,0.0053662,,,28,
6,0.00643944,,,28,
7,0.00751268,,,28,
8,0.00858592,,,28,
9,0.00965915,,,28,
10,0.0107324,,,28,
11,0.0118056,,,28,
12,0.0128789,,,28,
13,0.0139521,,,28,
14,0.0150254,,,28,
15,0.0160986,,,28,
16,0.0171718,,,28,
17,0.0182451,,,28,
18,0.0193183,,,28,
19,0.0203915,,,28,
20,0.0214648,,,28,
21,0.022538,,,28,
22,0.0236113,,,28,
23,0.0246845,,,28,
24,0.0257577,,,28,
25,0.026831,,,28,
26,0.0279042,,,28,
27,0.0289775,,,28,
28,0.0300507,,,28,
29,0.0311239,,,28,
30,0.0321972,,,28,
31,0.0332704,,,28,
32,0.0343437,,,28,
33,0.0354169,,,28,
34,0.0364901,,,28,
35,0.0375634,,,28,
36,0.0386366,,,28,
37,0.0397099,,,28,
38,0.0407831,,,28,
39,0.0418563,,,28,
40,0.0429296,,,28,
41,0.0440028,,,28,
42,0.0450761,,,28,
43,0.0461493,,,28,
44,0.0472225,,,28,
45,0.0482958,,,28,
46,0.049369,,,28,
47,0.0504423,,,27,
48,0.0515155,,,27,
49,0.0525887,,,27,
50,0.053662,,,27,
51,0.0547352,,,27,
52,0.0558085,,,27,
53,0.0568817,,,27,
54,0.0579549,,,27,
55,0.0590282,,,27,
56,0.0601014,,,27,
57,0.0611746,,,27,
58,0.0622479,,,27,
59,0.0633211,,,27,
60,0.0643944,,,27,
61,0.0654676,,,27,
62,0.0665408,,,27,
63,0.0676141,,,27,
64,0.0686873,,,27,
65,0.0697606,,,27,
66,0.0708338,,,27,
67,0.071907,,,27,
68,0.0729803,,,26,
69,0.0740535,,,26,
70,0.0751268,,,26,
71,0.0762,,,26,
72,0.0772732,,,26,
73,0.0783465,,,26,
74,0.0794197,,,26,
75,0.080493,,,26,
76,0.0815662,,,26,
77,0.0826394,,,26,
78,0.0837127,,,26,
79,0.0847859,,,26,
80,0.0858592,,,26,
81,0.0869324,,,26,
82,0.0880056,,,26,
83,0.0890789,,,26,
84,0.0901521,,,26,
85,0.0912254,,,26,
86,0.0922986,,,26,
87,0.0933718,,,26,
88,0.0944451,,,26,
89,0.0955183,,,26,
90,0.0965915,,,28,
91,0.0976648,,,28,
92,0.098738,,,28,
93,0.0998113,,,28,
94,0.100885,,,28,
95,0.101958,,,28,
96,0.103031,,,28,
97,0.104104,,,28,
98,0.105177,,,28,
99,0.106251,,,28,
100,0.107324,,,28,
101,0.108397,,,28,
102,0.10947,,,28,
103,0.110544,,,28,
104,0.111617,,,28,
105,0.11269,,,28,
106,0.113763,,,28,
107,0.114837,,,28,
108,0.11591,,,28,
109,0.116983,,,28,
110,0.118056,,,28,
111,0.11913,,,27,
112,0.120203,,,27,
113,0.121276,,,27,
114,0.122349,,,27,
115,0.123423,,,27,
116,0.124496,,,27,
117,0.125569,,,27,
118,0.126642,,,27,
119,0.127715,,,27,
120,0.128789,,,27,
121,0.129862,,,27,
122,0.130935,,,27,
123,0.132008,,,27,
124,0.133082,,,27,
125,0.134155,,,27,
126,0.135228,,,27,
127,0.136301,,,27,
128,0.137375,,,27,
129,0.138448,,,27,
130,0.139521,,,27,
131,0.140594,,,27,
132,0.141668,,,27,
133,0.142741,,,27,
134,0.143814,,,27,
135,0.144887,,,25,
136,0.145961,,,25,
137,0.147034,,,25,
138,0.148107,,,25,
139,0.14918,,,25,
140,0.150254,,,25,
141,0.151327,,,25,
142,0.1524,,,25,
143,0.153473,,,25,
144,0.154546,,,25,
145,0.15562,,,25,
146,0.156693,,,25,
147,0.157766,,,25,
148,0.158839,,,25,
149,0.159913,,,25,
150,0.160986,,,25,
151,0.162059,,,25,
152,0.163132,,,25,
153,0.164206,,,25,
154,0.165279,,,25,
155,0.166352,,,24,
156,0.167425,,,24,
157,0.168499,,,24,
158,0.169572,,,24,
159,0.170645,,,24,
160,0.171718,,,24,
161,0.172792,,,24,
162,0.173865,,,24,
163,0.174938,,,24,
164,0.176011,,,24,
165,0.177085,,,24,
166,0.178158,,,24,
167,0.179231,,,24,
168,0.180304,,,24,
169,0.181377,,,24,
170,0.182451,,,24,
171,0.183524,,,24,
172,0.184597,,,24,
173,0.18567,,,24,
174,0.186744,,,24,
175,0.187817,,,24,
176,0.18889,,,24,
177,0.189963,,,24,
178,0.191037,,,24,
179,0.19211,,,24,
180,0.193183,,,24,
