secs,km,power,hr,cad,alt
0,0,0,87,0,215.4
1,0.00297,0,88,66,217
2,0.00593,0,89,71,217.4
3,0.0089,104,90,74,218
4,0.01187,98,91,76,218
5,0.01745,98,92,78,218
6,0.02306,102,92,80,218
7,0.02866,94,93,79,218
8,0.03427,115,94,81,218
9,0.03988,98,94,77,218
10,0.04544,103,95,78,218
11,0.05095,98,94,78,218
12,0.05636,105,94,77,218
13,0.06175,104,94,75,218
14,0.06709,104,94,75,218
15,0.0724,112,94,75,218
16,0.07771,104,94,76,218
17,0.08307,116,94,77,218
18,0.08855,111,94,78,218
19,0.09404,104,95,77,218
20,0.09954,107,96,78,218
21,0.10502,108,97,77,218
22,0.11047,108,98,78,218
23,0.11594,111,99,79,218
24,0.1215,117,100,81,218
25,0.12708,103,101,78,218
26,0.13266,108,103,78,218
27,0.1382,103,104,79,218
28,0.14373,119,106,80,217.8
29,0.14934,109,106,80,217.8
30,0.15495,105,107,79,217.8
31,0.16055,106,108,79,217.8
32,0.16609,104,109,77,217.8
33,0.17155,116,110,78,217.8
34,0.17703,108,110,79,217.8
35,0.18261,113,111,81,218
36,0.18825,87,111,77,217.8
37,0.19383,109,112,79,218
38,0.19933,102,113,80,217.8
39,0.20494,124,113,83,217.8
40,0.21074,101,115,83,217.8
41,0.21655,105,116,82,217.8
42,0.22229,94,117,80,218
43,0.2279,117,118,82,218
44,0.23358,113,119,81,218
45,0.23921,96,120,77,218
46,0.24476,92,121,75,218
47,0.25024,124,118,79,218
48,0.25588,121,120,82,218
49,0.26165,106,121,81,218
50,0.2674,94,122,84,218
51,0.27315,126,123,85,218
52,0.27895,102,123,86,218
53,0.28478,107,123,81,217.8
54,0.29056,105,123,84,217.8
55,0.29631,116,122,83,217.8
56,0.30208,102,122,81,217.8
57,0.30791,115,122,81,217.8
58,0.31374,111,122,81,217.8
59,0.31959,112,122,83,217.8
60,0.32543,102,122,81,217.8
61,0.33123,113,122,81,217.8
62,0.33698,112,122,82,217.8
63,0.34273,111,122,81,217.8
64,0.34845,108,122,81,217.8
65,0.35417,113,121,82,217.8
66,0.35986,108,121,80,217.8
67,0.36555,115,120,81,217.8
68,0.37127,112,120,84,217.8
69,0.37702,111,119,84,217.8
70,0.38274,112,119,81,218
71,0.38843,132,119,84,218
72,0.39423,111,118,81,218
73,0.40003,109,119,81,218
74,0.40584,108,119,83,218
75,0.41161,117,120,85,218
76,0.41739,122,120,84,218
77,0.42319,114,120,83,218
78,0.42903,114,121,82,217.8
79,0.43487,122,121,84,217.8
80,0.44075,108,121,83,217.8
81,0.44664,109,121,81,218
82,0.45247,122,121,83,218
83,0.45828,117,121,84,218
84,0.46411,111,121,82,218
85,0.46988,110,121,82,218
86,0.47566,120,121,82,218
87,0.48141,110,122,82,218
88,0.48716,119,122,82,218
89,0.49287,112,122,81,218
90,0.49861,127,121,85,218
91,0.50436,119,121,82,218
92,0.51011,115,121,82,217.8
93,0.51586,126,121,82,217.8
94,0.52166,124,121,83,217.8
95,0.52749,113,120,82,217.8
96,0.5332,110,121,80,217.8
97,0.53888,128,121,82,218
98,0.54451,130,121,82,218
99,0.55018,117,121,83,218
100,0.55586,121,121,81,218
101,0.56153,117,121,81,218.2
102,0.5672,122,121,81,218.2
103,0.5729,118,121,81,218.2
104,0.57859,113,121,80,218.2
105,0.5843,117,121,81,218
106,0.58993,124,121,80,218
107,0.59557,132,121,82,218
108,0.60126,118,121,80,218
109,0.60695,120,121,79,218
110,0.61263,126,121,82,218
111,0.61832,125,121,83,218
112,0.62401,127,121,81,218
113,0.62968,121,121,80,218
114,0.63532,120,121,81,218
115,0.64095,125,121,81,218.2
116,0.64659,119,120,80,218.2
117,0.6522,120,120,79,218
118,0.65773,121,120,78,218
119,0.66323,126,119,78,218
120,0.66871,124,118,77,218
121,0.67419,131,117,79,218
122,0.67972,108,116,77,218
123,0.68522,130,116,78,218
124,0.69075,115,116,78,218
125,0.69626,109,115,76,218
126,0.70167,128,115,78,218
127,0.70709,122,115,77,218
128,0.71245,125,114,76,218
129,0.71782,140,114,77,218
130,0.72321,127,114,77,218
131,0.72863,134,114,78,218.2
132,0.73419,126,114,78,218.2
133,0.73976,118,114,78,218.2
134,0.74526,109,115,76,218.2
135,0.75063,145,115,78,218.2
136,0.75601,127,116,78,218.2
137,0.76143,123,116,76,218.2
138,0.76682,130,116,77,218.2
139,0.77227,137,117,77,218.2
140,0.77775,131,117,80,218.2
141,0.78325,117,117,77,218.2
142,0.78872,134,117,78,218.2
143,0.79423,128,117,77,218.2
144,0.79971,125,117,77,218.2
145,0.8051,118,117,77,218.2
146,0.81048,142,117,79,218
147,0.81606,140,117,80,218.2
148,0.8217,128,117,80,218.2
149,0.82737,128,118,80,218.2
150,0.83304,133,117,80,218.2
151,0.83872,142,117,81,218.2
152,0.84432,130,117,79,218.2
153,0.84993,132,117,81,218.2
154,0.85549,129,118,78,218.2
155,0.861,123,119,77,218.2
156,0.86641,163,119,79,218.2
157,0.87189,123,121,78,218.2
158,0.87742,127,121,79,218
159,0.88292,126,122,76,218
160,0.88837,135,123,77,218
161,0.89381,140,124,77,218.2
162,0.89928,134,125,78,218.2
163,0.90478,136,126,78,218
164,0.9102,125,127,76,218
165,0.91562,140,128,78,218
166,0.92106,131,130,78,218
167,0.92651,128,131,76,218
168,0.93193,128,132,75,218
169,0.93727,137,133,77,218.2
170,0.94263,141,133,77,218
171,0.94805,127,134,76,218
172,0.95348,140,134,79,218
173,0.95892,128,135,80,218
174,0.96431,140,135,77,218
175,0.96969,138,135,77,218
176,0.97511,139,135,77,218
177,0.98059,154,135,79,218
178,0.98609,126,135,78,218.2
179,0.99154,129,135,76,218
180,0.99698,149,135,79,218
181,1.00249,138,135,78,218
182,1.00802,131,135,77,218
183,1.01349,127,134,77,218.2
184,1.0189,151,134,78,218.2
185,1.02435,142,134,77,218.2
186,1.0298,133,134,76,218.2
187,1.03524,144,134,77,218.2
188,1.04069,140,134,77,218.2
189,1.04611,136,134,77,218.2
190,1.0515,142,134,76,218.2
191,1.05692,142,134,78,218.2
192,1.06235,141,133,77,218.2
193,1.06779,133,133,77,218.2
194,1.07321,142,133,76,218.2
195,1.0786,139,133,76,218.2
196,1.08397,146,132,76,218
197,1.08936,148,133,77,218
198,1.09475,131,132,75,218
199,1.10012,145,132,76,218
200,1.10548,144,133,76,218
201,1.11087,144,133,77,218
202,1.11627,142,133,76,218
203,1.12166,140,133,76,218.2
204,1.12703,149,132,77,218.2
205,1.13238,142,133,75,218.4
206,1.13777,135,132,77,218.4
207,1.1433,162,132,80,218.4
208,1.1489,118,133,76,218.4
209,1.1544,142,132,77,218.4
210,1.15991,161,132,81,218.4
211,1.16558,152,132,80,218.4
212,1.17136,142,132,83,218.4
213,1.1771,142,131,82,218.4
214,1.18282,151,130,82,218.2
215,1.18854,149,130,81,218.2
216,1.19426,155,130,83,218.2
217,1.19998,145,129,79,218.2
218,1.20567,144,129,80,218
219,1.21131,147,129,80,218
220,1.21698,156,129,82,218
221,1.2227,147,129,81,218.2
222,1.22842,149,129,81,218.2
223,1.23417,150,129,82,218.2
224,1.23992,143,130,81,218.4
225,1.24559,143,130,80,218.4
226,1.25123,152,130,81,218.4
227,1.2569,154,130,82,218.2
228,1.26265,158,130,82,218.2
229,1.2684,142,130,80,218.2
230,1.27411,148,130,82,218.2
231,1.2798,152,129,82,218.2
232,1.28549,146,129,81,218.2
233,1.29119,157,129,80,218.2
234,1.29691,160,129,82,218.2
235,1.30266,147,129,81,218.2
236,1.30841,159,129,82,218.2
237,1.31415,148,129,81,218.2
238,1.3199,157,128,82,218.2
239,1.32565,159,128,82,218.2
240,1.33137,151,128,82,218.2
241,1.33706,155,128,81,218.2
242,1.34275,155,128,81,218.2
243,1.34846,155,129,82,218.2
244,1.35418,153,129,81,218.2
245,1.3599,154,129,81,218.2
246,1.3656,152,129,81,218.2
247,1.37129,152,129,80,218.2
248,1.37699,164,129,83,218.2
249,1.38279,149,130,81,218.2
250,1.38859,146,130,82,218.2
251,1.39437,153,131,82,218.2
252,1.40009,156,131,82,218.2
253,1.4058,151,131,81,218.2
254,1.41152,156,131,81,218.2
255,1.41721,154,131,81,218.2
256,1.42288,159,131,79,218.2
257,1.42856,163,131,81,218.2
258,1.43425,157,131,80,218.2
259,1.43997,165,131,82,218.2
260,1.44572,151,131,82,218.2
261,1.45149,159,131,81,218.2
262,1.45727,155,131,81,218.2
263,1.46304,153,131,80,218
264,1.46879,164,131,83,218
265,1.47454,163,130,83,218
266,1.48032,157,131,82,218
267,1.48609,161,131,82,218
268,1.49187,162,132,82,218
269,1.49764,159,132,82,218
270,1.50342,159,133,82,218
271,1.50919,163,133,82,218.2
272,1.51497,157,133,82,218.2
273,1.52075,155,134,82,218.2
274,1.52652,164,134,83,218.2
275,1.53232,148,134,81,218.2
276,1.5381,157,134,81,218.2
277,1.54382,163,134,82,218.2
278,1.54957,165,134,82,218.2
279,1.55534,161,135,82,218.2
280,1.56115,163,135,83,218.2
281,1.56695,150,135,81,218.4
282,1.57275,160,135,82,218.4
283,1.57856,158,135,81,218.4
