secs,km,power,hr,cad,alt
0,0,0,104,0,210.6
1,0.00341,0,104,0,211.4
2,0.00703,0,104,0,212
3,0.01055,33,106,67,212.2
4,0.01388,4,106,53,211.8
5,0.0173,48,105,63,211.8
6,0.02086,27,105,64,212.2
7,0.02434,1,105,64,212.2
8,0.02765,1,105,36,212.2
9,0.03136,66,106,61,211.8
10,0.03531,120,106,65,212
11,0.03961,104,107,74,212.2
12,0.04402,83,107,80,212.2
13,0.0485,74,108,77,211.6
14,0.05304,92,108,71,211.4
15,0.05764,109,108,73,211.4
16,0.06246,94,108,74,211.4
17,0.06721,95,109,76,211.2
18,0.07193,94,109,75,211.2
19,0.07672,101,110,75,211.4
20,0.0816,101,110,77,211.6
21,0.08659,103,110,79,211.8
22,0.09163,80,110,80,211.8
23,0.09675,76,110,80,211.8
24,0.10203,71,110,81,211.8
25,0.10734,78,110,84,212
26,0.11278,104,111,86,212.2
27,0.11835,73,111,89,212.4
28,0.12391,84,112,90,212.2
29,0.12943,104,113,87,212.2
30,0.13475,19,114,0,212.4
31,0.13995,0,115,0,212.4
32,0.14491,0,116,0,212.4
33,0.14932,0,116,0,212
34,0.15375,0,116,0,212.2
35,0.15819,64,117,70,212
36,0.16279,90,117,72,212.4
37,0.16754,119,118,73,212.4
38,0.17221,53,117,77,212.2
39,0.17687,57,117,77,212.8
40,0.18152,57,116,74,213
41,0.18609,47,116,74,213
42,0.19055,15,116,73,213
43,0.19502,41,117,70,213.2
44,0.19949,48,117,70,213.4
45,0.20386,48,118,71,213.2
46,0.20788,35,118,71,212.6
47,0.21203,35,117,62,212.8
48,0.2156,49,118,62,213
49,0.21937,71,117,57,212.8
50,0.22346,139,117,60,213.2
51,0.22751,95,118,65,213.8
52,0.23164,63,118,64,213.8
53,0.23574,78,118,65,214.2
54,0.23999,88,118,65,214.2
55,0.24441,129,118,67,214.2
56,0.24884,87,117,71,214
57,0.25335,117,117,69,214.2
58,0.25798,120,117,73,214.2
59,0.26262,92,117,73,214.2
60,0.26728,57,118,74,214.2
61,0.27209,60,119,74,214.2
62,0.27703,48,120,77,213.8
63,0.28244,20,120,78,213.8
64,0.28816,41,121,83,213.8
65,0.29394,98,121,89,213.4
66,0.29959,109,121,92,213.2
67,0.30515,82,120,80,213.2
68,0.31066,85,120,80,213.2
69,0.31609,87,120,78,213
70,0.32155,63,121,77,213
71,0.32705,79,121,78,213
72,0.33253,75,121,78,213
73,0.3381,92,122,78,212.8
74,0.34365,102,122,79,213
75,0.34917,54,122,79,212.8
76,0.35469,72,122,79,212.8
77,0.36015,88,122,79,213
78,0.36537,13,121,74,213
79,0.37065,10,120,65,213.2
80,0.37601,31,120,67,213.2
81,0.38151,23,120,0,213.4
82,0.38733,23,120,0,213.4
83,0.3933,24,120,77,213.4
84,0.39954,1,120,59,213.2
85,0.40614,0,119,53,212.8
86,0.41309,0,119,0,212.4
87,0.42034,0,119,0,212
88,0.4278,0,119,0,211.8
89,0.43546,0,119,0,211.6
90,0.44299,0,118,0,211.2
91,0.45029,0,117,0,211
92,0.45736,0,117,0,210.8
93,0.46407,0,116,0,210.6
94,0.47065,0,116,0,210.6
95,0.47705,135,115,86,210.6
96,0.48332,164,114,79,210.4
97,0.48925,108,112,78,210.4
98,0.49506,106,110,72,210.6
99,0.50071,135,110,72,210.8
100,0.50622,89,110,72,211
101,0.51169,108,108,74,211
102,0.51709,169,107,79,211.2
103,0.52229,82,106,76,211.4
104,0.52732,89,106,73,211.6
105,0.53226,126,106,71,211.8
106,0.53719,158,107,70,212
107,0.54222,147,107,74,212
108,0.54728,139,108,80,211.8
109,0.5523,149,109,80,211.4
110,0.55735,139,109,81,211.6
111,0.56248,175,111,80,211.8
112,0.56767,166,112,82,211.8
113,0.57292,169,113,83,211.8
114,0.57813,144,113,83,212
115,0.58339,145,113,82,212
116,0.58873,165,114,84,212
117,0.59417,209,114,86,212.2
